datum_von,datum_bis,jahr,monat,land,handelsart,handelsmenge_mwh,handelsmenge_abs_mwh,ist_gesamt
2020-02-01,2020-03-01,2020,2,Luxemburg,Import,-690.0,690.0,False
2020-02-01,2020-03-01,2020,2,Niederlande,Export,385470.0,385470.0,False
2020-02-01,2020-03-01,2020,2,Niederlande,Import,-322903.0,322903.0,False
2020-02-01,2020-03-01,2020,2,Oesterreich,Export,2693561.0,2693561.0,False
2020-02-01,2020-03-01,2020,2,Oesterreich,Import,-7190.0,7190.0,False
2020-02-01,2020-03-01,2020,2,Polen,Export,145201.0,145201.0,False
2020-02-01,2020-03-01,2020,2,Polen,Import,-17281.0,17281.0,False
2020-02-01,2020-03-01,2020,2,Schweden,Export,18648.0,18648.0,False
2020-02-01,2020-03-01,2020,2,Schweden,Import,-222351.0,222351.0,False
2020-02-01,2020-03-01,2020,2,Schweiz,Export,459805.0,459805.0,False
2020-02-01,2020-03-01,2020,2,Schweiz,Import,-137792.0,137792.0,False
2020-02-01,2020-03-01,2020,2,Tschechien,Export,675534.0,675534.0,False
2020-02-01,2020-03-01,2020,2,Tschechien,Import,-160946.0,160946.0,False
2020-03-01,2020-04-01,2020,3,Daenemark,Export,319525.0,319525.0,False
2020-03-01,2020-04-01,2020,3,Daenemark,Import,-986809.0,986809.0,False
2020-03-01,2020-04-01,2020,3,Frankreich,Export,730749.0,730749.0,False
2020-03-01,2020-04-01,2020,3,Frankreich,Import,-762817.0,762817.0,False
2020-03-01,2020-04-01,2020,3,Gesamt,Nettoexport,2180915.0,2180915.0,True
2020-03-01,2020-04-01,2020,3,Luxemburg,Export,312552.0,312552.0,False
2020-03-01,2020-04-01,2020,3,Luxemburg,Import,0.0,0.0,False
2020-03-01,2020-04-01,2020,3,Niederlande,Export,454154.0,454154.0,False
2020-03-01,2020-04-01,2020,3,Niederlande,Import,-431090.0,431090.0,False
2020-03-01,2020-04-01,2020,3,Oesterreich,Export,2030521.0,2030521.0,False
2020-03-01,2020-04-01,2020,3,Oesterreich,Import,-45529.0,45529.0,False
2020-03-01,2020-04-01,2020,3,Polen,Export,308677.0,308677.0,False
2020-03-01,2020-04-01,2020,3,Polen,Import,-52373.0,52373.0,False
2020-03-01,2020-04-01,2020,3,Schweden,Export,10933.0,10933.0,False
2020-03-01,2020-04-01,2020,3,Schweden,Import,-291367.0,291367.0,False
2020-03-01,2020-04-01,2020,3,Schweiz,Export,355684.0,355684.0,False
2020-03-01,2020-04-01,2020,3,Schweiz,Import,-335872.0,335872.0,False
2020-03-01,2020-04-01,2020,3,Tschechien,Export,864360.0,864360.0,False
2020-03-01,2020-04-01,2020,3,Tschechien,Import,-300383.0,300383.0,False
2020-04-01,2020-05-01,2020,4,Daenemark,Export,291506.0,291506.0,False
2020-04-01,2020-05-01,2020,4,Daenemark,Import,-945868.0,945868.0,False
2020-04-01,2020-05-01,2020,4,Frankreich,Export,260708.0,260708.0,False
2020-04-01,2020-05-01,2020,4,Frankreich,Import,-1280167.0,1280167.0,False
2020-04-01,2020-05-01,2020,4,Gesamt,Nettoexport,-596529.0,596529.0,True
2020-04-01,2020-05-01,2020,4,Luxemburg,Export,258719.0,258719.0,False
2020-04-01,2020-05-01,2020,4,Luxemburg,Import,0.0,0.0,False
2020-04-01,2020-05-01,2020,4,Niederlande,Export,354796.0,354796.0,False
2020-04-01,2020-05-01,2020,4,Niederlande,Import,-460198.0,460198.0,False
2020-04-01,2020-05-01,2020,4,Oesterreich,Export,1434096.0,1434096.0,False
2020-04-01,2020-05-01,2020,4,Oesterreich,Import,-97110.0,97110.0,False
2020-04-01,2020-05-01,2020,4,Polen,Export,318477.0,318477.0,False
2020-04-01,2020-05-01,2020,4,Polen,Import,-43623.0,43623.0,False
2020-04-01,2020-05-01,2020,4,Schweden,Export,20830.0,20830.0,False
2020-04-01,2020-05-01,2020,4,Schweden,Import,-226224.0,226224.0,False
2020-04-01,2020-05-01,2020,4,Schweiz,Export,138664.0,138664.0,False
2020-04-01,2020-05-01,2020,4,Schweiz,Import,-1125544.0,1125544.0,False
2020-04-01,2020-05-01,2020,4,Tschechien,Export,916480.0,916480.0,False
2020-04-01,2020-05-01,2020,4,Tschechien,Import,-412071.0,412071.0,False
2020-05-01,2020-06-01,2020,5,Daenemark,Export,354217.0,354217.0,False
2020-05-01,2020-06-01,2020,5,Daenemark,Import,-822421.0,822421.0,False
2020-05-01,2020-06-01,2020,5,Frankreich,Export,124011.0,124011.0,False
2020-05-01,2020-06-01,2020,5,Frankreich,Import,-1513265.0,1513265.0,False
2020-05-01,2020-06-01,2020,5,Gesamt,Nettoexport,-2054560.0,2054560.0,True
2020-05-01,2020-06-01,2020,5,Luxemburg,Export,288409.0,288409.0,False
2020-05-01,2020-06-01,2020,5,Luxemburg,Import,0.0,0.0,False
2020-05-01,2020-06-01,2020,5,Niederlande,Export,309626.0,309626.0,False
2020-05-01,2020-06-01,2020,5,Niederlande,Import,-1033428.0,1033428.0,False
2020-05-01,2020-06-01,2020,5,Oesterreich,Export,1083500.0,1083500.0,False
2020-05-01,2020-06-01,2020,5,Oesterreich,Import,-195504.0,195504.0,False
2020-05-01,2020-06-01,2020,5,Polen,Export,417225.0,417225.0,False
2020-05-01,2020-06-01,2020,5,Polen,Import,-30997.0,30997.0,False
2020-05-01,2020-06-01,2020,5,Schweden,Export,511.0,511.0,False
2020-05-01,2020-06-01,2020,5,Schweden,Import,-24625.0,24625.0,False
2020-05-01,2020-06-01,2020,5,Schweiz,Export,95704.0,95704.0,False
2020-05-01,2020-06-01,2020,5,Schweiz,Import,-1320236.0,1320236.0,False
2020-05-01,2020-06-01,2020,5,Tschechien,Export,697530.0,697530.0,False
2020-05-01,2020-06-01,2020,5,Tschechien,Import,-484817.0,484817.0,False
2020-06-01,2020-07-01,2020,6,Daenemark,Export,652324.0,652324.0,False
2020-06-01,2020-07-01,2020,6,Daenemark,Import,-327424.0,327424.0,False
2020-06-01,2020-07-01,2020,6,Frankreich,Export,339549.0,339549.0,False
2020-06-01,2020-07-01,2020,6,Frankreich,Import,-704292.0,704292.0,False
2020-06-01,2020-07-01,2020,6,Gesamt,Nettoexport,-237263.0,237263.0,True
2020-06-01,2020-07-01,2020,6,Luxemburg,Export,301894.0,301894.0,False
2020-06-01,2020-07-01,2020,6,Luxemburg,Import,0.0,0.0,False
2020-06-01,2020-07-01,2020,6,Niederlande,Export,407544.0,407544.0,False
2020-06-01,2020-07-01,2020,6,Niederlande,Import,-392467.0,392467.0,False
2020-06-01,2020-07-01,2020,6,Oesterreich,Export,637190.0,637190.0,False
