datum_von,datum_bis,energietraeger,erzeugung_mwh,jahr,monat
2021-03-01,2021-04-01,Biomasse,3321780.5,2021,3
2021-03-01,2021-04-01,Braunkohle,7844513.5,2021,3
2021-03-01,2021-04-01,Erdgas,6603361.75,2021,3
2021-03-01,2021-04-01,Kernenergie,5502068.0,2021,3
2021-03-01,2021-04-01,Photovoltaik,4084762.0,2021,3
2021-03-01,2021-04-01,Pumpspeicher,770015.25,2021,3
2021-03-01,2021-04-01,Sonstige Erneuerbare,145858.25,2021,3
2021-03-01,2021-04-01,Sonstige Konventionelle,1170678.5,2021,3
2021-03-01,2021-04-01,Steinkohle,3502914.0,2021,3
2021-03-01,2021-04-01,Wasserkraft,1096885.5,2021,3
2021-03-01,2021-04-01,Wind offshore,2356745.0,2021,3
2021-03-01,2021-04-01,Wind onshore,9052932.75,2021,3
2021-04-01,2021-05-01,Biomasse,3215143.75,2021,4
2021-04-01,2021-05-01,Braunkohle,7086525.5,2021,4
2021-04-01,2021-05-01,Erdgas,5587178.0,2021,4
2021-04-01,2021-05-01,Kernenergie,5145542.75,2021,4
2021-04-01,2021-05-01,Photovoltaik,5411394.25,2021,4
2021-04-01,2021-05-01,Pumpspeicher,656823.0,2021,4
2021-04-01,2021-05-01,Sonstige Erneuerbare,113368.5,2021,4
2021-04-01,2021-05-01,Sonstige Konventionelle,1077606.5,2021,4
2021-04-01,2021-05-01,Steinkohle,3452755.5,2021,4
2021-04-01,2021-05-01,Wasserkraft,1028506.25,2021,4
2021-04-01,2021-05-01,Wind offshore,1775864.25,2021,4
2021-04-01,2021-05-01,Wind onshore,7709987.75,2021,4
2021-05-01,2021-06-01,Biomasse,3348917.75,2021,5
2021-05-01,2021-06-01,Braunkohle,5706664.75,2021,5
2021-05-01,2021-06-01,Erdgas,3589174.5,2021,5
2021-05-01,2021-06-01,Kernenergie,5277141.25,2021,5
2021-05-01,2021-06-01,Photovoltaik,5861740.75,2021,5
2021-05-01,2021-06-01,Pumpspeicher,571920.75,2021,5
2021-05-01,2021-06-01,Sonstige Erneuerbare,109287.5,2021,5
2021-05-01,2021-06-01,Sonstige Konventionelle,1111334.5,2021,5
2021-05-01,2021-06-01,Steinkohle,2393617.25,2021,5
2021-05-01,2021-06-01,Wasserkraft,1547943.0,2021,5
2021-05-01,2021-06-01,Wind offshore,1287883.5,2021,5
2021-05-01,2021-06-01,Wind onshore,8792241.5,2021,5
2021-06-01,2021-07-01,Biomasse,2948925.5,2021,6
2021-06-01,2021-07-01,Braunkohle,8055826.0,2021,6
2021-06-01,2021-07-01,Erdgas,4697738.0,2021,6
2021-06-01,2021-07-01,Kernenergie,4945204.5,2021,6
2021-06-01,2021-07-01,Photovoltaik,7090809.5,2021,6
2021-06-01,2021-07-01,Pumpspeicher,649711.5,2021,6
2021-06-01,2021-07-01,Sonstige Erneuerbare,84571.5,2021,6
2021-06-01,2021-07-01,Sonstige Konventionelle,1042888.0,2021,6
2021-06-01,2021-07-01,Steinkohle,3163581.75,2021,6
2021-06-01,2021-07-01,Wasserkraft,1785436.0,2021,6
2021-06-01,2021-07-01,Wind offshore,1050447.75,2021,6
2021-06-01,2021-07-01,Wind onshore,3349814.25,2021,6
2021-07-01,2021-08-01,Biomasse,3074738.75,2021,7
2021-07-01,2021-08-01,Braunkohle,7429940.25,2021,7
2021-07-01,2021-08-01,Erdgas,3929686.75,2021,7
2021-07-01,2021-08-01,Kernenergie,5516786.75,2021,7
2021-07-01,2021-08-01,Photovoltaik,6208818.25,2021,7
2021-07-01,2021-08-01,Pumpspeicher,555176.5,2021,7
2021-07-01,2021-08-01,Sonstige Erneuerbare,88232.5,2021,7
2021-07-01,2021-08-01,Sonstige Konventionelle,1050985.0,2021,7
2021-07-01,2021-08-01,Steinkohle,3601010.0,2021,7
2021-07-01,2021-08-01,Wasserkraft,1719840.5,2021,7
2021-07-01,2021-08-01,Wind offshore,1257519.0,2021,7
2021-07-01,2021-08-01,Wind onshore,4686137.75,2021,7
2021-08-01,2021-09-01,Biomasse,3102114.0,2021,8
2021-08-01,2021-09-01,Braunkohle,7545135.25,2021,8
2021-08-01,2021-09-01,Erdgas,2667497.25,2021,8
2021-08-01,2021-09-01,Kernenergie,5792832.0,2021,8
2021-08-01,2021-09-01,Photovoltaik,5247086.75,2021,8
2021-08-01,2021-09-01,Pumpspeicher,612267.75,2021,8
2021-08-01,2021-09-01,Sonstige Erneuerbare,94262.75,2021,8
2021-08-01,2021-09-01,Sonstige Konventionelle,1086028.75,2021,8
2021-08-01,2021-09-01,Steinkohle,2867174.25,2021,8
2021-08-01,2021-09-01,Wasserkraft,1737281.0,2021,8
2021-08-01,2021-09-01,Wind offshore,1906611.75,2021,8
2021-08-01,2021-09-01,Wind onshore,6171110.5,2021,8
2021-09-01,2021-10-01,Biomasse,3030714.0,2021,9
2021-09-01,2021-10-01,Braunkohle,8727431.0,2021,9
