Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2024;01.02.2024;3.178.686,00;1.527.869,75;3.036.663,75;15.538.623,00;1.433.804,00;121.548,00;-;6.819.909,25;4.036.643,00;7.171.706,50;797.579,50;1.356.743,00
01.02.2024;01.03.2024;3.025.250,75;1.363.737,75;2.780.407,50;14.088.422,75;2.236.905,75;100.751,50;-;6.010.242,50;2.607.946,25;5.287.330,75;770.379,50;1.340.098,50
01.03.2024;01.04.2024;3.270.618,50;1.394.855,75;2.736.839,00;9.347.789,00;4.876.757,25;85.718,50;-;6.461.017,75;2.423.432,25;5.301.249,25;818.488,75;1.402.417,00
01.04.2024;01.05.2024;3.028.276,25;1.402.538,00;2.186.038,25;9.674.383,75;6.624.391,25;77.726,75;-;4.303.987,50;1.642.419,25;4.319.790,50;903.802,75;1.284.024,75
01.05.2024;01.06.2024;3.027.532,50;1.683.963,75;1.528.316,00;6.248.813,75;8.603.730,25;82.885,25;-;4.716.631,75;1.088.283,25;3.873.127,25;904.486,25;1.325.669,25
01.06.2024;01.07.2024;2.861.024,25;1.653.953,00;1.552.964,75;5.670.932,75;8.835.624,50;69.856,00;-;5.290.899,00;1.072.616,50;3.493.624,00;951.746,00;1.153.422,25
01.07.2024;01.08.2024;2.878.042,00;1.795.411,75;1.636.014,25;5.528.038,25;9.306.817,75;80.859,00;-;5.471.088,00;1.050.448,00;3.253.777,50;1.070.466,75;1.424.860,50
01.08.2024;01.09.2024;2.817.887,25;1.456.816,25;1.426.232,00;5.184.448,50;8.941.062,25;81.602,75;-;5.365.300,25;1.696.165,50;3.430.310,25;994.638,00;1.371.920,75
01.09.2024;01.10.2024;2.747.048,00;1.357.653,75;1.822.075,00;8.943.181,25;6.161.317,50;76.891,50;-;5.177.279,75;2.185.951,25;3.207.378,75;837.670,50;1.292.639,50
01.10.2024;01.11.2024;3.041.499,25;1.564.444,75;2.261.530,25;8.368.162,75;3.561.570,50;88.776,50;-;7.134.012,25;2.750.257,75;3.852.887,75;834.093,75;1.302.478,50
01.11.2024;01.12.2024;3.102.041,50;1.118.226,50;2.233.532,75;10.259.467,00;1.529.686,25;91.081,25;-;7.657.978,50;3.685.594,00;7.062.067,25;717.187,00;1.244.702,75
01.12.2024;01.01.2025;3.219.102,00;1.232.445,00;2.466.866,25;13.708.154,25;1.036.765,75;101.042,25;-;6.578.007,75;3.096.561,75;6.663.231,50;790.154,00;1.341.659,75
