Datum von;Datum bis;Nettoexport [MWh] Berechnete Auflösungen;Niederlande (Export) [MWh] Berechnete Auflösungen;Niederlande (Import) [MWh] Berechnete Auflösungen;Schweiz (Export) [MWh] Berechnete Auflösungen;Schweiz (Import) [MWh] Berechnete Auflösungen;Dänemark (Export) [MWh] Berechnete Auflösungen;Dänemark (Import) [MWh] Berechnete Auflösungen;Tschechien (Export) [MWh] Berechnete Auflösungen;Tschechien (Import) [MWh] Berechnete Auflösungen;Luxemburg (Export) [MWh] Berechnete Auflösungen;Luxemburg (Import) [MWh] Berechnete Auflösungen;Schweden (Export) [MWh] Berechnete Auflösungen;Schweden (Import) [MWh] Berechnete Auflösungen;Österreich (Export) [MWh] Berechnete Auflösungen;Österreich (Import) [MWh] Berechnete Auflösungen;Frankreich (Export) [MWh] Berechnete Auflösungen;Frankreich (Import) [MWh] Berechnete Auflösungen;Polen (Export) [MWh] Berechnete Auflösungen;Polen (Import) [MWh] Berechnete Auflösungen;Norwegen (Export) [MWh] Berechnete Auflösungen;Norwegen (Import) [MWh] Berechnete Auflösungen;Belgien (Export) [MWh] Berechnete Auflösungen;Belgien (Import) [MWh] Berechnete Auflösungen
01.08.2021;01.09.2021;101.988,75;785.578,00;-152.477,00;241.613,00;-780.857,00;489.528,00;-688.768,00;507.068,00;-491.901,00;297.210,00;0,00;18.780,00;-44.226,00;864.214,00;-237.905,00;293.607,00;-578.736,00;272.608,00;-413.373,00;116.035,00;-336.392,00;118.098,75;-177.716,00
01.09.2021;01.10.2021;1.921.617,50;1.011.472,00;-177.254,00;705.826,00;-342.845,00;229.704,00;-860.684,00;427.719,00;-600.721,00;327.404,00;0,00;4.344,00;-135.458,00;1.579.600,00;-67.657,00;702.989,00;-239.419,00;81.057,00;-580.118,00;28.134,00;-405.710,00;369.298,25;-136.063,75
01.10.2021;01.11.2021;2.417.872,25;606.808,00;-199.803,00;718.559,00;-86.462,00;127.210,00;-1.412.720,00;300.560,00;-583.492,00;340.740,00;0,00;1.140,00;-310.595,00;2.555.289,00;-16.049,00;1.166.442,00;-232.786,00;50.473,00;-518.531,00;143.376,00;-338.651,00;298.157,00;-191.792,75
01.11.2021;01.12.2021;2.481.551,25;513.486,00;-306.121,00;729.465,00;-123.460,00;111.788,00;-1.520.445,00;309.182,00;-503.576,00;358.337,00;0,00;4.576,00;-352.668,00;2.183.678,00;-20.947,00;1.889.736,00;-103.671,00;10.915,00;-513.598,00;66.750,00;-401.360,00;363.869,75;-214.385,50
01.12.2021;01.01.2022;3.733.998,00;572.110,00;-337.205,00;613.787,00;-135.333,00;349.780,00;-1.289.652,00;335.287,00;-427.634,00;349.281,00;0,00;23.989,00;-219.976,00;2.192.616,00;-31.616,00;1.895.084,00;-131.871,00;121.518,00;-304.982,00;264.674,00;-362.224,00;441.803,50;-186.493,00
01.01.2022;01.02.2022;4.049.471,00;597.693,00;-321.884,00;636.232,00;-136.983,00;207.676,00;-1.026.360,00;528.068,00;-391.381,00;368.297,00;0,00;7.373,00;-297.073,00;2.223.161,00;-38.043,00;2.077.933,00;-98.550,00;83.429,00;-323.932,00;243.383,00;-523.887,00;411.917,50;-177.598,50
01.02.2022;01.03.2022;5.565.287,50;624.782,00;-76.772,00;564.206,00;-243.830,00;270.626,00;-1.176.359,00;622.647,00;-148.391,00;317.831,00;0,00;14.977,00;-246.484,00;2.734.185,00;-550,00;1.957.840,00;-26.196,00;41.281,00;-158.386,00;293.896,00;-260.722,00;544.351,25;-83.644,75
01.03.2022;01.04.2022;2.859.390,75;567.322,00;-308.784,00;928.680,00;-103.157,00;205.364,00;-1.732.960,00;431.500,00;-462.369,00;355.027,00;0,00;4.387,00;-383.500,00;1.904.520,00;-28.970,00;2.247.106,00;-79.334,00;49.138,00;-435.020,00;161.722,00;-685.797,00;420.434,50;-195.918,75
01.04.2022;01.05.2022;3.096.928,50;601.471,00;-337.930,00;690.844,00;-112.154,00;516.272,00;-921.249,00;840.301,00;-319.248,00;306.739,00;0,00;13.944,00;-237.187,00;1.405.005,00;-104.510,00;1.338.482,00;-273.534,00;106.140,00;-413.848,00;329.106,00;-362.358,00;281.600,75;-250.958,25
01.05.2022;01.06.2022;247.632,50;462.674,00;-593.985,00;570.918,00;-260.777,00;267.221,00;-1.168.984,00;754.268,00;-390.772,00;317.116,00;0,00;10.509,00;-268.387,00;1.122.955,00;-99.956,00;698.097,00;-493.500,00;138.509,00;-363.115,00;131.051,00;-516.506,00;176.028,75;-245.732,25
